Date,Volume,Close,Average,,,,,,,,,,
29/06/2017,"106,949,719", $241.35 ,242.869,,,,,,,,,,
30/06/2017,"86,820,694", $241.80 ,242.785,,,,,,,,,,
03/07/2017,"39,153,806", $242.21 ,242.54,,,,,,,,,,
05/07/2017,"54,427,596", $242.77 ,242.516,,,,,,,,,,
06/07/2017,"66,115,317", $240.55 ,242.276,,,,,,,,,,
07/07/2017,"57,972,268", $242.11 ,242.203,,,,,,,,,,
10/07/2017,"36,663,274", $242.37 ,242.127,,,,,,,,,,
11/07/2017,"50,354,614", $242.19 ,242.017,,,,,,,,,,
12/07/2017,"59,610,405", $244.01 ,242.285,,,,,,,,,,
13/07/2017,"39,471,637", $244.42 ,242.378,,,,,,,,,,
14/07/2017,"60,262,692", $245.56 ,242.799,,,,,,,,,,
17/07/2017,"33,531,917", $245.53 ,243.172,,,,,,,,,,
18/07/2017,"42,742,498", $245.66 ,243.517,,,,,,,,,,
19/07/2017,"51,034,260", $246.99 ,243.939,,,,,,,,,,
20/07/2017,"47,135,183", $247.10 ,244.594,,,,,,,,,,
21/07/2017,"88,711,019", $246.88 ,245.071,,,,,,,,,,
24/07/2017,"46,622,256", $246.82 ,245.516,,,,,,,,,,
25/07/2017,"54,915,591", $247.42 ,246.039,,,,,,,,,,
26/07/2017,"47,575,422", $247.43 ,246.381,,,,,,,,,,
27/07/2017,"70,766,568", $247.20 ,246.659,,,,,,,,,,
28/07/2017,"50,088,359", $246.91 ,246.794,,,,,,,,,,
31/07/2017,"65,838,659", $246.77 ,246.918,,,,,,,,,,
01/08/2017,"55,050,401", $247.32 ,247.084,,,,,,,,,,
02/08/2017,"47,211,216", $247.44 ,247.129,,,,,,,,,,
03/08/2017,"40,855,997", $246.96 ,247.115,,,,,,,,,,
04/08/2017,"60,191,838", $247.41 ,247.168,,,,,,,,,,
07/08/2017,"31,995,021", $247.87 ,247.273,,,,,,,,,,
08/08/2017,"61,719,353", $247.26 ,247.257,,,,,,,,,,
