Date,Close,Volume,Average,,,,,,,,,,
20/04/2017, $132.59 ,"21,977,910",131.564,,,,,,,,,,
21/04/2017, $132.56 ,"22,454,948",131.616,,,,,,,,,,
24/04/2017, $134.16 ,"22,469,948",131.835,,,,,,,,,,
25/04/2017, $135.13 ,"19,384,398",132.146,,,,,,,,,,
26/04/2017, $134.94 ,"25,398,542",132.495,,,,,,,,,,
27/04/2017, $135.75 ,"16,136,538",132.978,,,,,,,,,,
28/04/2017, $135.99 ,"22,771,946",133.537,,,,,,,,,,
01/05/2017, $137.20 ,"24,815,525",134.109,,,,,,,,,,
02/05/2017, $137.43 ,"18,345,071",134.724,,,,,,,,,,
03/05/2017, $136.99 ,"23,827,550",135.274,,,,,,,,,,
04/05/2017, $137.04 ,"14,630,063",135.719,,,,,,,,,,
05/05/2017, $137.54 ,"19,330,652",136.217,,,,,,,,,,
08/05/2017, $137.84 ,"13,279,931",136.585,,,,,,,,,,
09/05/2017, $138.32 ,"28,426,109",136.904,,,,,,,,,,
10/05/2017, $138.40 ,"20,499,363",137.25,,,,,,,,,,
11/05/2017, $138.29 ,"27,232,074",137.504,,,,,,,,,,
12/05/2017, $138.60 ,"19,738,629",137.765,,,,,,,,,,
15/05/2017, $139.04 ,"20,481,327",137.949,,,,,,,,,,
16/05/2017, $139.62 ,"21,785,994",138.168,,,,,,,,,,
17/05/2017, $136.07 ,"55,642,178",138.076,,,,,,,,,,
18/05/2017, $137.26 ,"41,319,882",138.098,,,,,,,,,,
19/05/2017, $137.84 ,"36,730,112",138.128,,,,,,,,,,
22/05/2017, $139.00 ,"19,509,659",138.244,,,,,,,,,,
23/05/2017, $139.14 ,"19,687,534",138.326,,,,,,,,,,
24/05/2017, $139.78 ,"18,323,864",138.464,,,,,,,,,,
25/05/2017, $140.97 ,"23,928,591",138.732,,,,,,,,,,
26/05/2017, $141.22 ,"13,851,582",138.994,,,,,,,,,,
30/05/2017, $141.34 ,"20,306,409",139.224,,,,,,,,,,
31/05/2017, $141.29 ,"33,229,404",139.391,,,,,,,,,,
01/06/2017, $141.84 ,"20,120,741",139.968,,,,,,,,,,
02/06/2017, $143.46 ,"37,222,881",140.588,,,,,,,,,,
05/06/2017, $143.43 ,"15,727,526",141.147,,,,,,,,,,
