Date,Close,Volume,Average,,,,,,,,,,
09/05/2017, $45.91 ,"1,280,952",45.61585,,,,,,,,,,
10/05/2017, $46.88 ,"2,503,630",45.75252,,,,,,,,,,
11/05/2017, $47.05 ,"2,091,116",45.84219,,,,,,,,,,
12/05/2017, $47.19 ,"573,215",46.02386,,,,,,,,,,
15/05/2017, $47.92 ,"1,123,073",46.23353,,,,,,,,,,
16/05/2017, $48.60 ,"1,067,398",46.56019,,,,,,,,,,
17/05/2017, $46.51 ,"3,092,325",46.66152,,,,,,,,,,
18/05/2017, $47.37 ,"2,103,750",46.85286,,,,,,,,,,
19/05/2017, $47.90 ,"2,681,369",47.07853,,,,,,,,,,
22/05/2017, $48.42 ,"2,000,099",47.37453,,,,,,,,,,
23/05/2017, $48.23 ,"760,093",47.6062,,,,,,,,,,
24/05/2017, $48.54 ,"1,018,681",47.77186,,,,,,,,,,
25/05/2017, $48.79 ,"1,013,545",47.94519,,,,,,,,,,
26/05/2017, $49.01 ,"789,619",48.12752,,,,,,,,,,
30/05/2017, $49.34 ,"1,176,956",48.26952,,,,,,,,,,
31/05/2017, $49.33 ,"1,605,400",48.34219,,,,,,,,,,
01/06/2017, $49.38 ,"1,063,342",48.62952,,,,,,,,,,
02/06/2017, $49.88 ,"1,297,440",48.88051,,,,,,,,,,
05/06/2017, $50.00 ,"986,634",49.09117,,,,,,,,,,
06/06/2017, $50.17 ,"1,240,680",49.26584,,,,,,,,,,
07/06/2017, $50.54 ,"1,262,691",49.49717,,,,,,,,,,
08/06/2017, $51.46 ,"1,617,490",49.7895,,,,,,,,,,
09/06/2017, $49.30 ,"5,104,158",49.84083,,,,,,,,,,
12/06/2017, $49.02 ,"5,277,352",49.8415,,,,,,,,,,
13/06/2017, $49.35 ,"3,216,686",49.84283,,,,,,,,,,
14/06/2017, $48.83 ,"2,112,897",49.79316,,,,,,,,,,
15/06/2017, $48.45 ,"3,531,854",49.69983,,,,,,,,,,
16/06/2017, $48.25 ,"1,589,055",49.53684,,,,,,,,,,
19/06/2017, $49.17 ,"1,455,662",49.45351,,,,,,,,,,
