Date,Close,Volume,Average,,,,,,,,,,
07/02/2018, $72.20 ,"7,565,078",75.086,,,,,,,,,,
08/02/2018, $69.83 ,"6,235,358",74.398,,,,,,,,,,
09/02/2018, $70.64 ,"8,534,551",73.708,,,,,,,,,,
12/02/2018, $71.62 ,"3,611,216",73.183,,,,,,,,,,
13/02/2018, $71.75 ,"1,918,013",72.746,,,,,,,,,,
14/02/2018, $72.97 ,"2,926,287",72.423,,,,,,,,,,
15/02/2018, $73.79 ,"3,154,052",72.187,,,,,,,,,,
16/02/2018, $73.87 ,"2,834,151",72.125,,,,,,,,,,
20/02/2018, $73.25 ,"1,669,719",72.297,,,,,,,,,,
21/02/2018, $72.93 ,"1,340,936",72.285,,,,,,,,,,
22/02/2018, $73.08 ,"1,917,510",72.373,,,,,,,,,,
23/02/2018, $73.99 ,"7,203,959",72.789,,,,,,,,,,
26/02/2018, $74.78 ,"1,966,179",73.203,,,,,,,,,,
27/02/2018, $73.64 ,"1,935,766",73.405,,,,,,,,,,
28/02/2018, $72.79 ,"1,634,122",73.509,,,,,,,,,,
01/03/2018, $71.88 ,"6,922,724",73.4,,,,,,,,,,
02/03/2018, $72.21 ,"2,206,602",73.242,,,,,,,,,,
05/03/2018, $72.78 ,"1,765,554",73.133,,,,,,,,,,
06/03/2018, $73.16 ,"1,507,941",73.124,,,,,,,,,,
07/03/2018, $73.11 ,"1,446,026",73.142,,,,,,,,,,
08/03/2018, $73.38 ,"1,305,757",73.172,,,,,,,,,,
09/03/2018, $74.33 ,"799,341",73.206,,,,,,,,,,
12/03/2018, $74.36 ,"2,316,511",73.164,,,,,,,,,,
13/03/2018, $73.86 ,"1,172,747",73.186,,,,,,,,,,
14/03/2018, $73.71 ,"1,010,470",73.278,,,,,,,,,,
15/03/2018, $73.68 ,"3,228,790",73.458,,,,,,,,,,
16/03/2018, $73.65 ,"1,073,911",73.602,,,,,,,,,,
19/03/2018, $72.87 ,"2,320,623",73.611,,,,,,,,,,
20/03/2018, $72.97 ,"1,032,547",73.592,,,,,,,,,,
21/03/2018, $73.04 ,"1,674,128",73.585,,,,,,,,,,
22/03/2018, $71.31 ,"3,784,476",73.378,,,,,,,,,,
23/03/2018, $70.09 ,"1,654,811",72.954,,,,,,,,,,
26/03/2018, $71.73 ,"3,064,173",72.691,,,,,,,,,,
27/03/2018, $70.70 ,"2,931,124",72.375,,,,,,,,,,
28/03/2018, $70.75 ,"3,097,349",72.079,,,,,,,,,,
29/03/2018, $71.70 ,"3,126,753",71.881,,,,,,,,,,
02/04/2018, $70.26 ,"3,336,469",71.542,,,,,,,,,,
03/04/2018, $71.01 ,"4,289,448",71.356,,,,,,,,,,
04/04/2018, $71.51 ,"2,327,402",71.21,,,,,,,,,,
05/04/2018, $72.02 ,"1,837,968",71.108,,,,,,,,,,
06/04/2018, $70.82 ,"2,828,975",71.059,,,,,,,,,,
09/04/2018, $71.19 ,"1,103,185",71.169,,,,,,,,,,
10/04/2018, $72.30 ,"2,217,920",71.226,,,,,,,,,,
11/04/2018, $71.98 ,"1,176,730",71.354,,,,,,,,,,
12/04/2018, $72.38 ,"903,038",71.517,,,,,,,,,,
13/04/2018, $72.22 ,"1,387,283",71.569,,,,,,,,,,
16/04/2018, $72.57 ,"1,998,631",71.8,,,,,,,,,,
17/04/2018, $73.10 ,"865,592",72.009,,,,,,,,,,
18/04/2018, $73.34 ,"1,449,360",72.192,,,,,,,,,,
19/04/2018, $73.03 ,"2,655,759",72.293,,,,,,,,,,
20/04/2018, $72.46 ,"1,393,139",72.457,,,,,,,,,,
23/04/2018, $72.36 ,"1,485,703",72.574,,,,,,,,,,
24/04/2018, $71.67 ,"2,147,277",72.511,,,,,,,,,,
25/04/2018, $71.68 ,"1,268,486",72.481,,,,,,,,,,
26/04/2018, $72.26 ,"2,000,195",72.469,,,,,,,,,,
